Evaluation date,Type of place evaluated,Commune name,Municipal section name,Neighborhood name,Name of the site,Spontaneous site type,Internally displaced households,IDPs counted,Site size in meters,Land ownership,Site creation date,Presence of IDPs?,Presence of old IDP returned?,Baby boys under 1 year old,Baby girls under a year old,Boys from 1 to 5 years old,Girls from 1 to 5 years old,Boys from 6 to 11 years old,Girls from 6 to 11 years old,Boys from 12 to 17 years old,Girls from 12 to 17 years old,People aged 60 and over,Department of origin for majority of IDPs,Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,Date fled,Reason for fleeing,Reason why IDP chose to take refuge in this place,Is the place accessible?,Tension between displaced people and the host community?,Distribution of food received?,Health assistance,Assistance psychosocial,Assistance WASH,Distribution CASH,Education assistance,Possession of identity documents by the majority of displaced persons?,If not why ?,"What are the 3 main
security concerns in the
site?",Do boys attend school?,Do girls attend school?,Health problems,proportion vaccine cholera,Why not cholera vaccine,How much Death Cholera,Food source,Access to fertile land,Proportion of persons carrying out a subsistence activity
2023-03-12,Site,Pétion-Ville,5e Section Bellevue Chardonnière,Bristou,Mixed institution of the emperor,School,33,165,Between 100 and 150 square meters,To private persons,2021-07-01,Yes,,7,5,12,10,13,17,23,20,10,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Pernier,2021-7,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"GA attack, g gang font",majority,majority,Diarrhee fever cough,Nobody,no_vaccin,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Delmas,1re Section St Martin,Dessalines,Not applicable to host communities,Not applicable to host communities,40,160,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,15,8,15,9,16,13,20,11,Ouest,Cité Soleil,1ère Varreux,Projet Drouillard,2022-8,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,other,other flight,half,half,cough fever disease_peau,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-02-22,Host community,Delmas,1re Section St Martin,Christ Vivant,Not applicable to host communities,Not applicable to host communities,40,160,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,9,8,13,10,20,11,21,14,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-12,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,other,other flight,none,some,Disease_Peau Fever,About half of the people,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Port-au-Prince,3e Section Martissant,Morne Ti-source,Not applicable to host communities,Not applicable to host communities,31,155,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,5,7,12,18,10,15,18,14,15,Ouest,Port-au-Prince,5ème Saint Martin,Morne Ti-source,2022-11,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",Yes,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",half,half,diarrhee infection_plaie cholera,A few people (about 25%),not,5,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-15,Host community,Delmas,1re Section St Martin,2ème Cite Saint Martin,Not applicable to host communities,Not applicable to host communities,30,155,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,4,5,7,5,4,8,4,6,25,Ouest,Delmas,8ème Martissant,2ème Cite Saint Martin,2022-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"fight gang gang font attacks ga, g",majority,half,Cholera cough fever,The majority of people (around 75%),fear,10,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Host community,Tabarre,3e Section Bellevue,Ferme Goureau,Not applicable to host communities,Not applicable to host communities,30,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,2,5,16,17,11,20,12,17,3,Ouest,Croix-Des-Bouquets,10ème Thor,Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,Taxe Illegal Combat Gang time Police,some,some,DIARRHEE FEVEMP,Nobody,Pas_souha was afraid,,Purchase_ borrowing borrowing,No access to cultivable land,some
2023-02-21,Host community,Carrefour,10e Section Thor,Bois Dioute - Ti Kajou,Not applicable to host communities,Not applicable to host communities,30,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,9,13,12,23,14,17,9,14,4,Ouest,Carrefour,2ème Varreux (Canaan - Jerusalem),Bois Dioute - Ti Kajou,2021-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",Yes,no,no,no,no,no,no,Yes,,"Ga attack, g other",some,some,cholera disease_peau malnutrition,About half of the people,fear,15,other,No access to cultivable land,some
2023-02-21,Host community,Carrefour,11e Section Rivière Froide,Ti Sous,Not applicable to host communities,Not applicable to host communities,30,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,8,7,9,12,15,15,20,18,Ouest,Port-au-Prince,3ème Bellevue,Bas Martissant,2021-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,NSP,,illegal tax extortion flight,some,half,illness_peau cough cholera,About half of the people,fear,,Purchase_Marche Troc,No access to cultivable land,some
2023-02-20,Host community,Croix-Des-Bouquets,5e Section Petit Bois,Michaud,Not applicable to host communities,Not applicable to host communities,50,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,10,10,15,15,10,10,15,15,10,Ouest,Tabarre,8ème Martissant,Clercine,2022-2,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,Yes,,"fight gang gang font attacks ga, g",all,all,Cough fever infection_plaie,Nobody,fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",none
2023-03-02,Host community,Carrefour,10e Section Thor,Rivière Froide (Kay Frè),Not applicable to host communities,Not applicable to host communities,50,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,8,7,13,12,15,13,20,15,14,Ouest,Port-au-Prince,8ème Martissant,Bas Martissant,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,Lack of interest,Gang Police Arbitrary Arbitation Flight,half,half,infection_plaie malaria disease_peau,About half of the people,fear,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-03-07,Host community,Carrefour,9e Section Bizoton,Chaud-Eau,Not applicable to host communities,Not applicable to host communities,30,150,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,13,17,10,13,16,18,15,Ouest,Port-au-Prince,8ème Martissant,Bas Martissant,2021-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of security",no,no,no,no,no,no,no,Yes,,"Attack GA, G Sexual violence gang police",some,some,Diarrhee cholera illness_peau,A few people (about 25%),fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Host community,Delmas,1re Section St Martin,Fragneauville - 75,Not applicable to host communities,Not applicable to host communities,45,143,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,3,7,5,1,6,12,17,9,Ouest,Croix-Des-Bouquets,2ème Varreux (Marin),Bonrepos - Lizon,2022-6,Preventive displacement/fear,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,kidnapping extorsion vol,some,some,diarrhee cough fever,Nobody,no_vaccin,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-02-21,Host community,Tabarre,3e Section Bellevue,Galette Goureau,Not applicable to host communities,Not applicable to host communities,28,140,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,1,2,8,18,9,12,13,20,2,Ouest,Croix-Des-Bouquets,1ère Varreux,Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Diarrhee fever cough,Nobody,fear not,,Borrowing bake purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-22,Host community,Delmas,1re Section St Martin,La Paix,Not applicable to host communities,Not applicable to host communities,35,140,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,9,8,13,10,15,11,18,12,Ouest,Cité Soleil,2ème Varreux (Canaan - Jerusalem),Bois Neuf,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,other flight,some,some,Other fever other,About half of the people,fear,,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-03-01,Host community,Delmas,1re Section St Martin,Cite St Claire - Batimat,Not applicable to host communities,Not applicable to host communities,35,140,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,9,7,10,9,13,9,17,12,Ouest,Port-au-Prince,2ème Varreux (Canaan - Jerusalem),Martissant - Breard - Sainte-Bernadette,2022-12,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,"GA attack, g kidnapping tax illegal",half,half,Disease_ PEX,A few people (about 25%),fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",half
2023-03-15,Host community,Delmas,1re Section St Martin,Ruelle Jeune,Not applicable to host communities,Not applicable to host communities,35,140,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,5,8,9,8,13,6,11,6,Ouest,Croix-Des-Bouquets,8ème Martissant,Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,No office,vol combat gang kidnapping,half,half,Fever illness_peau other,Nobody,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-03-16,Site,Port-au-Prince,3e Section Martissant,Cite Louverture,Martissant - Brear - Sainte -Bernadette,Temple/Church,35,140,,,,Yes,,5,6,7,9,8,11,11,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-03,Host community,Delmas,1re Section St Martin,Mais Gate - Villambeta,Not applicable to host communities,Not applicable to host communities,33,139,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,2,4,7,11,17,9,14,13,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,kidnapping vol gang police,some,some,cough fever disease_peau,A few people (about 25%),fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Pétion-Ville,3e Section Etang du Jonc,Terre-Rouge,Not applicable to host communities,Not applicable to host communities,34,136,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,15,10,8,10,10,14,15,Ouest,Pétion-Ville,2ème Varreux (Canaan - Jerusalem),Laboule,2023-1,Preventive displacement/fear,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"GA attack, g kidnapping sexual violence",all,all,Fever disease_peau cough,Nobody,no_vaccin,,Purchase_Marche Production_Subsistance,"In any case, there is no cultivable land available in the area",half
2023-02-17,Host community,Tabarre,3e Section Bellevue,Barbancourt,Not applicable to host communities,Not applicable to host communities,34,136,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,5,10,12,8,8,12,7,19,2,Ouest,Croix-Des-Bouquets,3ème Etang du Jong,Canaan - Jerusalem,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",majority,majority,diarrhee disease_peau fever,A few people (about 25%),Pas_souha was afraid,,Borrow purchase_marche,No access to cultivable land,some
2023-03-02,Host community,Delmas,1re Section St Martin,Kernizan,Not applicable to host communities,Not applicable to host communities,43,135,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,2,3,3,7,8,11,9,12,6,Ouest,Croix-Des-Bouquets,1ère Varreux,Canaan - Jerusalem,2022-8,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,Kidnapping Vol Violence Sexual,half,half,Disease_ PEX,A few people (about 25%),fear,15,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-15,Site,Cité Soleil,2e Section des Varreux,Wharf Jeremie,Baptiste Haiti Baptist Church,Temple/Church,25,135,Over 150 square meters,To private persons,2023-01-01,Yes,,1,0,10,11,10,12,14,10,18,Ouest,Cité Soleil,2ème Varreux (Canaan - Jerusalem),Wharf Jeremie,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g recruitment child gang combat gang",none,none,diarrhee infection_plaie fever,Nobody,fear,10,other,"In any case, there is no cultivable land available in the area",some
2023-02-28,Site,Cité Soleil,2e Section des Varreux,Brouklin,Heart School (Sun 21 / Norway),School,35,131,Over 150 square meters,To private persons,2022-07-01,Yes,,2,4,2,1,6,9,7,12,4,Ouest,Cité Soleil,1ère Varreux,Brouklin,2022-7,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,Yes,no,Yes,,GA GA-G Combat Gang,some,some,malnutrition disease_peau fever,Nobody,no_vaccin,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-20,Host community,Delmas,1re Section St Martin,Clerville,Not applicable to host communities,Not applicable to host communities,47,130,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,4,6,6,7,9,15,15,22,2,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,abus police vol kidnapping,majority,majority,Fever disease_peau cough,A few people (about 25%),fear not,,Purchase_Marche loan,No access to cultivable land,some
2023-02-22,Host community,Cité Soleil,2e Section des Varreux,Cite Linto 2,Not applicable to host communities,Not applicable to host communities,25,128,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,4,2,3,2,9,12,7,9,3,Ouest,Cité Soleil,1ère Varreux,Cite Linto 2,2022-12,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,illness_ malnutrition troubles_psychological,Nobody,no_vaccin,4,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-02-15,Host community,Delmas,1re Section St Martin,Cineas,Not applicable to host communities,Not applicable to host communities,28,127,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,4,3,2,7,2,12,6,15,2,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-10,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"kidnapping attaque ga,g vol",some,some,Malnutrition coughs_psychological disorders,About half of the people,fear,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-15,Host community,Croix-Des-Bouquets,1re Section des Varreux,Marin,Not applicable to host communities,Not applicable to host communities,30,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,10,10,10,10,10,10,10,10,10,Ouest,Croix-Des-Bouquets,10ème Thor,Marin,2022-5,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,combat gang kidnapping gang police,all,all,cholera fever troubles_psychological,Nobody,fear,,Production_Subsistance Purchase_Marche,No access to cultivable land,some
2023-02-15,Host community,Croix-Des-Bouquets,3e Section Petit Bois,Cotta - Ferme Blanchard,Not applicable to host communities,Not applicable to host communities,30,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,10,10,10,10,20,10,10,10,5,Ouest,Croix-Des-Bouquets,11ème Rivière Froide,Cotta - Ferme Blanchard,2022-6,Attack/violence,Relationship or friendship with members of the host community,"No, because of physical access",no,no,no,no,no,no,no,Yes,,"Attacka GA, G FLAVE FIGURE GANG",all,all,Toux fever_psychological disorders,Nobody,fear,,Purchase_Marche loan,No access to cultivable land,some
2023-02-17,Host community,Port-au-Prince,2e Section Morne l'Hopital,Ti Savanne - Trantin,Not applicable to host communities,Not applicable to host communities,30,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,5,10,15,10,15,10,10,0,Ouest,Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,NSP,,other,some,some,DIARRHEE FEVEMP,Do not know / no answer,,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",NSP
2023-02-20,Host community,Delmas,1re Section St Martin,Nan Castro,Not applicable to host communities,Not applicable to host communities,30,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,8,10,5,12,7,13,10,14,10,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-2,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,other,other flight,some,some,cough fever disease_peau,About half of the people,fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",half
2023-02-21,Host community,Carrefour,10e Section Thor,Do Karyann,Not applicable to host communities,Not applicable to host communities,20,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,5,20,15,7,13,8,9,5,Ouest,Carrefour,2ème Varreux (Canaan - Jerusalem),Do Karyann,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no, Lack of financial means,other,some,some,cholera other,About half of the people,fear,20,Borrowing other seated_hum,No access to cultivable land,some
2023-02-21,Host community,Delmas,1re Section St Martin,St Patrick,Not applicable to host communities,Not applicable to host communities,30,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,8,7,9,8,10,12,14,10,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-12,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,no,other,other flight,majority,half,Other fever other,Nobody,no_vaccin,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-15,Host community,Carrefour,11e Section Rivière Froide,St-Charles - Lamentin,Not applicable to host communities,Not applicable to host communities,20,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,0,0,10,9,13,20,1,Ouest,Carrefour,2ème Varreux (Marin),St-Charles - Lamentin,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"Ga attack, g other",some,some,cough illness_peau fever,Do not know / no answer,,,Other,"In any case, there is no cultivable land available in the area",some
2023-02-23,Host community,Carrefour,10e Section Thor,Arcachon - Mon-repos,Not applicable to host communities,Not applicable to host communities,40,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,2,2,3,10,10,15,10,18,8,Ouest,Port-au-Prince,3ème Petit Bois,Bas Martissant,2021-6,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,Gang police arbitrary arrest,some,some,Toux fever diarrhee,A few people (about 25%),fear,2,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Delmas,1re Section St Martin,Delmas 30,Not applicable to host communities,Not applicable to host communities,20,120,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,3,4,7,8,12,10,18,0,Ouest,Croix-Des-Bouquets,8ème Martissant,Canaan - Jerusalem,2022-8,Attack/violence,Access to livelihoods,"No, because of physical access",no,no,no,no,no,no,no,Yes,,"attaque ga,g kidnapping vol",majority,majority,cough fever disease_peau,Do not know / no answer,,,Borrow purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-21,Site,Delmas,1re Section St Martin,Delmas 30,Saint Aude camp,Site installed on an air space,23,115,Over 150 square meters,To private persons,2010-01-01,Yes,,1,1,5,1,2,2,5,5,0,Ouest,Delmas,5ème Saint Martin,Delmas 30,2010-1,disaster,Secure location closest to provenance,"No, because of physical access",no,no,no,no,no,no,no,Yes,,kidnapping,half,half,Disease_ PEX,The majority of people (around 75%),fear not,,purchase_ other,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Carrefour,11e Section Rivière Froide,Truitier - Canne-a-Sucre,Not applicable to host communities,Not applicable to host communities,22,110,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,3,4,10,12,10,12,10,15,2,Ouest,Carrefour,11ème Rivière Froide,Truitier - Canne-a-Sucre,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,Yes,,"Ga attack, g other",some,some,Diarrhee cough fever,The majority of people (around 75%),fear,,Production_Subsistance Purchase_Marche,"In any case, there is no cultivable land available in the area",half
2023-02-24,Host community,Tabarre,4e Section Bellevue,Ti Jardin - Fleuriot,Not applicable to host communities,Not applicable to host communities,18,108,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,2,3,7,8,11,13,9,12,2,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Torcelle,2022-11,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"attaque ga,g kidnapping vol",some,some,Diarrhee fever cough,Do not know / no answer,,,purchase_ other,"In any case, there is no cultivable land available in the area",some
2023-02-24,Host community,Pétion-Ville,3e Section Etang du Jonc,Haut Pèlerin (5-11),Not applicable to host communities,Not applicable to host communities,20,107,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,7,5,10,12,6,9,9,14,0,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Girardeau,2022-5,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g sexual violence recruitment child gang",all,all,Diarrhee cough fever,Nobody,no_vaccin,,Purchase_Marche Production_Subsistance,No access to cultivable land,half
2023-02-16,Host community,Delmas,1re Section St Martin,Delmas 2,Not applicable to host communities,Not applicable to host communities,26,104,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,Yes,3,7,8,9,6,8,7,8,3,Ouest,Delmas,5ème Saint Martin,Delmas 2,2021-6,Attack/violence,Relationship or friendship with members of the host community,Yes,no,Yes,Yes,no,no,no,no,Yes,,"fight gang attack ga, g gang font",some,some,Illness_peau cholera diarrhee,The majority of people (around 75%),Pas_souha was afraid,8,Purchase_Marche,"In any case, there is no cultivable land available in the area",some
2023-02-14,Host community,Croix-Des-Bouquets,2e Section des Varreux,Depio - Segur -Lillavois,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,10,5,10,5,15,10,10,10,Ouest,Croix-Des-Bouquets,1ère Varreux,Depio - Segur -Lillavois,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,combat gang,some,half,Toux fever_psychological disorders,A few people (about 25%),fear not,,Purchase_Marche loan,No access to cultivable land,some
2023-02-14,Host community,Port-au-Prince,1re Section Turgeau,Champ-de-Mars,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,10,5,8,7,10,10,15,5,Ouest,Port-au-Prince,1ère Varreux,Champ-de-Mars,2019-1,Relocation requested by non -state groups,Access to livelihoods,Yes,no,no,no,no,no,Yes,no,no,Neglect,Arbitrary arrest police abuse Kidnapping,some,some,diarrhee infection_plaie fever,Do not know / no answer,,,Borrowing bake purchase_marche,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Croix-Des-Bouquets,2e Section des Varreux,Rosembert,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,5,5,10,10,15,10,10,10,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-2,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",majority,majority,diarrhee fever disease_peau,Nobody,fear,,Purchase_Marche loan,No access to cultivable land,some
2023-02-16,Host community,Delmas,1re Section St Martin,Cite Caraibes,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,7,7,9,7,8,12,13,7,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2023-1,Attack/violence,Relationship or friendship with members of the host community,Yes,Yes,no,no,no,no,no,no,no,other,other flight,half,some,Fivem cough illness_peau,About half of the people,fear,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-16,Host community,Pétion-Ville,3e Section Etang du Jonc,Menard III,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,0,0,5,7,9,10,13,25,0,Ouest,Pétion-Ville,2ème Varreux (Canaan - Jerusalem),Malick,2023-2,Attack/violence,Secure location closest to provenance,Yes,no,no,no,no,no,no,no,Yes,,kidnapping vol extorsion,all,all,Toux fever troubles_psychological,Nobody,no_vaccin,,Purchase_Marche loan,"In any case, there is no cultivable land available in the area",some
2023-02-21,Host community,Croix-Des-Bouquets,2e Section des Varreux,Bonrepos - Lizon,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,10,10,5,10,5,10,5,10,5,Ouest,Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,2022-12,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",none,none,other,Nobody,not,,Purchase_Marche,No access to cultivable land,some
2023-02-22,Host community,Pétion-Ville,3e Section Etang du Jonc,Filipo,Not applicable to host communities,Not applicable to host communities,20,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,5,8,3,13,5,7,10,9,4,Ouest,Pétion-Ville,2ème Varreux (Canaan - Jerusalem),Pernier 24,2022-11,Attack/violence,Access to the best living conditions,Yes,no,no,no,no,no,no,no,Yes,,"GA attack, g children's recruitment gang flight",all,all,Fever disease_peau diarrhee,Nobody,not,,Barter purchase_marche,"In any case, there is no cultivable land available in the area",half
2023-03-06,Host community,Tabarre,4e Section Bellevue,Chateaublond - Canne a Sucre,Not applicable to host communities,Not applicable to host communities,25,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,2,3,6,7,8,10,11,13,3,Ouest,Pétion-Ville,3ème Petit Bois,Bois Greffin,2022-5,Attack/violence,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Attack GA, G Fight gang gang police",some,some,Diarrhee cough fever,A few people (about 25%),Pas_souha was afraid,,Purchase_ borrowing borrowing,"In any case, there is no cultivable land available in the area",some
2023-02-22,Host community,Pétion-Ville,5e Section Bellevue Chardonnière,Bois Moquette,Not applicable to host communities,Not applicable to host communities,25,100,Not applicable to host communities,Not applicable to host communities,Not applicable to host communities,Yes,No,6,8,10,5,7,9,16,15,0,Ouest,Pétion-Ville,4ème Bellevue la Montagne,Metivier,2023-2,Preventive displacement/fear,Relationship or friendship with members of the host community,Yes,no,no,no,no,no,no,no,Yes,,"Ga attack, g sexual violence recruitment child gang",all,all,Diarrhee fever cough,The majority of people (around 75%),fear,,Purchase_Marche,"In any case, there is no cultivable land available in the area",majority
